Title,推噓數,Author,Url,Date
Re: [情報] 00981A 持股納入0050與0052,16,terry830630,https://www.ptt.cc/bbs/Stock/M.1767629490.A.D37.html,1/06
Re: [情報] 00981A 持股納入0050與0052,21,bbignose,https://www.ptt.cc/bbs/Stock/M.1767633342.A.99E.html,1/06
[新聞] 快訊／川普要重振委國石油產業　美股開盤,39,zkow,https://www.ptt.cc/bbs/Stock/M.1767634801.A.2C0.html,1/06
[標的] 7866丹立 未來潛力多,18,kobekid,https://www.ptt.cc/bbs/Stock/M.1767646249.A.17E.html,1/06
[新聞] 最多貴15元！路易莎「90種品項」調漲　限,46,kof70380,https://www.ptt.cc/bbs/Stock/M.1767653000.A.53E.html,1/06
[閒聊] 2026/01/06 盤中閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1767659404.A.BD6.html,1/06
Re: [標的] 2409友達 最後一次加碼單,18,YU1225,https://www.ptt.cc/bbs/Stock/M.1767661963.A.CED.html,1/06
[新聞] 補教老師「押孤支」月薪35000翻到破億,65,str8g,https://www.ptt.cc/bbs/Stock/M.1767663443.A.60A.html,1/06
[新聞] 熱門股／昔日「慘」業變飆股？群創劍指,14,EVGAMIS,https://www.ptt.cc/bbs/Stock/M.1767663904.A.5B4.html,1/06
[新聞] 記憶體賺爆了！ 南亞科去年11月單月獲利,46,nisi0773,https://www.ptt.cc/bbs/Stock/M.1767664969.A.D7E.html,1/06
[標的] 00885 富邦越南 今年依舊多？,9,Ulairi,https://www.ptt.cc/bbs/Stock/M.1767665838.A.AD1.html,1/06
[情報] LEU獲得9億美元撥款用以重啟核燃料生產,59,mrp,https://www.ptt.cc/bbs/Stock/M.1767666883.A.6F9.html,1/06
[請益] 可聽AI的建議買股嗎,71,Amed21,https://www.ptt.cc/bbs/Stock/M.1767668860.A.413.html,1/06
[新聞] 電視面板 元月報價調漲,17,q8977452,https://www.ptt.cc/bbs/Stock/M.1767669588.A.00C.html,1/06
Re: [標的] 7843 英柏得 聯電集團隱藏優質記憶體,1,linkingpark,https://www.ptt.cc/bbs/Stock/M.1767669702.A.6D2.html,1/06
Re: [新聞] 防美突襲釀呆帳 陸銀急查委國貸款風險,2,icrose,https://www.ptt.cc/bbs/Stock/M.1767670043.A.B08.html,1/06
[情報] 2026/01/06 11:00 記憶體報價 漲,56,rz2x,https://www.ptt.cc/bbs/Stock/M.1767670099.A.97D.html,1/06
[新聞] 輝達參戰自駕小黃戰場！宣布2027偕伴測試,44,TCB006,https://www.ptt.cc/bbs/Stock/M.1767671508.A.B5A.html,1/06
Re: [標的] 2330 台積電 無腦空,2,jpeter,https://www.ptt.cc/bbs/Stock/M.1767616116.A.05D.html,1/05
[情報] 00981A 持股納入0050與0052,爆,keel90135,https://www.ptt.cc/bbs/Stock/M.1767617247.A.F7C.html,1/05
"Re: [情報] 2323 中環 買禾榮科,波若威,上詮,賣順達",1,Redbeansauce,https://www.ptt.cc/bbs/Stock/M.1767617447.A.EB8.html,1/05
[情報] 6446 藥華藥 2025 12月營收,12,FreedomTrail,https://www.ptt.cc/bbs/Stock/M.1767617570.A.CA8.html,1/05
[新聞] 華碩設新團隊 衝Physical AI,11,hvariables,https://www.ptt.cc/bbs/Stock/M.1767617687.A.1B0.html,1/05
[情報] 115年01月05日信用交易統計,61,steward135,https://www.ptt.cc/bbs/Stock/M.1767618147.A.ED6.html,1/05
[新聞] HBM帶動封測需求噴發！華東跳空飛升漲停,8,YU1225,https://www.ptt.cc/bbs/Stock/M.1767619750.A.EA3.html,1/05
[情報] 0105 上市櫃外資投信買超金額排行,3,steveisaman,https://www.ptt.cc/bbs/Stock/M.1767620985.A.A77.html,1/05
[情報] 0105 上市櫃股票週轉率排行,0,steveisaman,https://www.ptt.cc/bbs/Stock/M.1767621763.A.428.html,1/05
[新聞] 記憶體漲不停 DRAM Q1合約價再漲5成、NAN,16,sayforever69,https://www.ptt.cc/bbs/Stock/M.1767621879.A.2AF.html,1/05
[新聞] 記憶體飆不停！全球消費性電子準備大爆漲,28,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1767622241.A.3C8.html,1/05
[標的] SMU.US 重返榮耀多,15,a27130314,https://www.ptt.cc/bbs/Stock/M.1767622749.A.0DF.html,1/05
[心得] 2025年報,24,d2623,https://www.ptt.cc/bbs/Stock/M.1767623138.A.89B.html,1/05
[標的] 5289宜鼎 潛力成長多,22,TT991,https://www.ptt.cc/bbs/Stock/M.1767624004.A.E54.html,1/05
Re: [標的] 6945.TW 圓祥生技 50倍獲利的賭局,11,liliumeow,https://www.ptt.cc/bbs/Stock/M.1767624342.A.D7A.html,1/05
[新聞] 獨／改善台股結構失衡 證交所將推出「價,72,wu73,https://www.ptt.cc/bbs/Stock/M.1767627027.A.AEE.html,1/05
[新聞] 防美突襲釀呆帳 陸銀急查委國貸款風險,15,Su22,https://www.ptt.cc/bbs/Stock/M.1767628392.A.046.html,1/05
[新聞] Fed卡什卡里：利率已接近中性 降息周期,38,tedcat,https://www.ptt.cc/bbs/Stock/M.1767628621.A.13E.html,1/05
[標的] 2618長榮航 空,25,arthur52,https://www.ptt.cc/bbs/Stock/M.1767603148.A.7E7.html,1/05
[新聞] 台積電2奈米洩密案延燒！ 再揪1工程師竊,40,hank811020,https://www.ptt.cc/bbs/Stock/M.1767603165.A.70F.html,1/05
[新聞] 鴻海AI放量帶動 2025全年業績突破8兆創新,31,nisi0773,https://www.ptt.cc/bbs/Stock/M.1767603712.A.565.html,1/05
Re: [情報] 0105 上市外資買賣超排行,49,i2taiwan,https://www.ptt.cc/bbs/Stock/M.1767604928.A.2AD.html,1/05
[情報] 2408 南亞科 11月自結 1.37,93,MOMO0478,https://www.ptt.cc/bbs/Stock/M.1767606292.A.3DD.html,1/05
[情報]  4743合一 12月營收,17,shie1217,https://www.ptt.cc/bbs/Stock/M.1767607213.A.0AD.html,1/05
[情報] 2313 華通 12月營收,27,htt950257,https://www.ptt.cc/bbs/Stock/M.1767607449.A.A82.html,1/05
[情報] 2323 中環 買順達，賣台積電、鴻海(皆賺),23,q1a1,https://www.ptt.cc/bbs/Stock/M.1767608910.A.C17.html,1/05
[情報] 2344 華邦電[華東董事] 賣華東約賺2.88億,43,q1a1,https://www.ptt.cc/bbs/Stock/M.1767609774.A.A6E.html,1/05
[新聞] 誰來管委內瑞拉？川普屬意魯比歐當「總,爆,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1767613615.A.CA4.html,1/05
[新聞] TrendForce: 原廠產能傾向server應用，1Q,7,madeinheaven,https://www.ptt.cc/bbs/Stock/M.1767613975.A.C8F.html,1/05
[情報] 8027 鈦昇 12月營收,12,trader987,https://www.ptt.cc/bbs/Stock/M.1767614420.A.9E7.html,1/05
Re: [情報] 2408 南亞科 11月自結 1.37,8,win8719,https://www.ptt.cc/bbs/Stock/M.1767614518.A.5C4.html,1/05
"Re: [情報] 2323 中環 買禾榮科,波若威,上詮,賣順達",3,Rimowa,https://www.ptt.cc/bbs/Stock/M.1767615722.A.325.html,1/05
[新聞] 0050：台積電大漲 散戶湧入,18,humbler,https://www.ptt.cc/bbs/Stock/M.1767616026.A.E70.html,1/05
Re: [情報] 台積電 11月營收,15,ketter,https://www.ptt.cc/bbs/Stock/M.1767594844.A.DD4.html,1/05
Re: [新聞] 台股站上3萬點高檔 散戶：沒台積電根本沒,48,win8719,https://www.ptt.cc/bbs/Stock/M.1767595074.A.97B.html,1/05
[請益] 若跌破5日線，開始空個幾口？,25,gametheory,https://www.ptt.cc/bbs/Stock/M.1767596116.A.353.html,1/05
[情報] 0105 上市投信買賣超排行,56,saber50116,https://www.ptt.cc/bbs/Stock/M.1767596286.A.509.html,1/05
[新聞] 驚人！台股7658億元交易量史上第二大 證,37,awss1971,https://www.ptt.cc/bbs/Stock/M.1767597456.A.239.html,1/05
[情報] 115年01月05日 三大法人買賣金額統計表,爆,coconing,https://www.ptt.cc/bbs/Stock/M.1767597676.A.F06.html,1/05
[情報]  6265 方土昶 11月自結0.277,15,MOMO0478,https://www.ptt.cc/bbs/Stock/M.1767598165.A.58B.html,1/05
Re: [情報] 115年01月05日 三大法人買賣金額統計表,0,DAY1986,https://www.ptt.cc/bbs/Stock/M.1767598695.A.FCB.html,1/05
[標的] AES-KY 6781 液冷BBU多,13,ShortestPath,https://www.ptt.cc/bbs/Stock/M.1767598884.A.2D8.html,1/05
[新聞] 台股首攻3萬點 阮清華：國安基金退場前不,51,nisi0773,https://www.ptt.cc/bbs/Stock/M.1767598924.A.2EF.html,1/05
[情報] 8086 宏捷科 12月營收,17,fafcfh,https://www.ptt.cc/bbs/Stock/M.1767598974.A.BBB.html,1/05
[新聞] 三星宣示AI全線進攻、Micro RGB電視革新,25,madeinheaven,https://www.ptt.cc/bbs/Stock/M.1767599013.A.FBF.html,1/05
Re: [標的] 3481群創 質押護盤多,0,YU1225,https://www.ptt.cc/bbs/Stock/M.1767600055.A.CCE.html,1/05
[情報] 0105 上市外資買賣超排行,爆,saber50116,https://www.ptt.cc/bbs/Stock/M.1767600597.A.00A.html,1/05
[情報] 2317 鴻海 114年12月營收,71,BlueBird5566,https://www.ptt.cc/bbs/Stock/M.1767601727.A.F62.html,1/05
[心得] 鈾價/鈾供需量對4U之研究,75,mrp,https://www.ptt.cc/bbs/Stock/M.1767602312.A.A5E.html,1/05
Re: [標的] 工信 新手爸爸想賺尿布錢多,26,game7463,https://www.ptt.cc/bbs/Stock/M.1767583837.A.697.html,1/05
[新聞]台股衝破 3 萬點關卡 「面板三虎」群創、,36,ilqgray,https://www.ptt.cc/bbs/Stock/M.1767584372.A.E30.html,1/05
[新聞] 面板雙虎 CES 展秀肌肉,20,blackpudding,https://www.ptt.cc/bbs/Stock/M.1767584556.A.CCE.html,1/05
Re: [標的] VT豬盤勢觀察 VT多,22,VTpig,https://www.ptt.cc/bbs/Stock/M.1767585386.A.F7F.html,1/05
Re: [標的] 華邦電 2344 (空),20,DarkerWu,https://www.ptt.cc/bbs/Stock/M.1767585516.A.098.html,1/05
"[請益]當初說要留10%現金,結果這10%反而虧慘了..",73,JessicaKuo,https://www.ptt.cc/bbs/Stock/M.1767586223.A.3F9.html,1/05
[標的] 台指期 空,爆,wen456789,https://www.ptt.cc/bbs/Stock/M.1767587368.A.891.html,1/05
Re: [新聞] 教授:台股明年上3萬點！先進製程贏者全,12,CHINAISSHIT,https://www.ptt.cc/bbs/Stock/M.1767590431.A.994.html,1/05
Re: [標的] 3227 原相 中長多,3,XFight,https://www.ptt.cc/bbs/Stock/M.1767590983.A.9BD.html,1/05
"[心得] 2025績效回顧,高收入其實是一種詛咒?",18,chiao999,https://www.ptt.cc/bbs/Stock/M.1767592052.A.C23.html,1/05
[情報] 台股前十大漲點紀錄(今天第六名),52,q8977452,https://www.ptt.cc/bbs/Stock/M.1767592374.A.028.html,1/05
Re: [標的] 2330.TW 台積電 討論 該賣NV求GG？,32,LDPC,https://www.ptt.cc/bbs/Stock/M.1767592400.A.5F9.html,1/05
[閒聊] 2026/01/05 盤後閒聊,46,laptic,https://www.ptt.cc/bbs/Stock/M.1767592841.A.B01.html,1/05
[情報] 3443 創意 12月營收,13,suntw,https://www.ptt.cc/bbs/Stock/M.1767593788.A.353.html,1/05
[新聞] 《半導體》台積電飆1650元新天價 市值衝,9,a281393,https://www.ptt.cc/bbs/Stock/M.1767594287.A.4C7.html,1/05
[新聞] 台股站上3萬點高檔 散戶：沒台積電根本沒,爆,ChanHoPark,https://www.ptt.cc/bbs/Stock/M.1767594521.A.4A2.html,1/05
[新聞] 金融業前11月大砍逾兩千億台股 壽險狂殺,11,ctfjuw,https://www.ptt.cc/bbs/Stock/M.1767572041.A.E70.html,1/05
[標的] 5234達興材料 蛻變中的特化龍頭,19,kpckpckpc,https://www.ptt.cc/bbs/Stock/M.1767572285.A.286.html,1/05
[閒聊] 2026/01/05 盤中閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1767573007.A.1A0.html,1/05
[新聞] NOR Flash傳暴漲50％？別只看華邦電 這,4,sayforever69,https://www.ptt.cc/bbs/Stock/M.1767574724.A.CB0.html,1/05
[標的] 2409友達 準備落後補漲多,21,YU1225,https://www.ptt.cc/bbs/Stock/M.1767575927.A.0A1.html,1/05
[情報] 台股30000點啦！！！！！,爆,chu3,https://www.ptt.cc/bbs/Stock/M.1767577303.A.794.html,1/05
[標的] 3147 大綜 跟著台G多,6,SM19,https://www.ptt.cc/bbs/Stock/M.1767578128.A.6ED.html,1/05
Re: [標的] 3006 晶豪科 記憶體全部出清,17,YU1225,https://www.ptt.cc/bbs/Stock/M.1767578141.A.BF3.html,1/05
[請益] 台積個股期異常成交,18,bookway,https://www.ptt.cc/bbs/Stock/M.1767578680.A.33D.html,1/05
[標的] 台北大盤 年底3萬5多,19,TroyeSivan,https://www.ptt.cc/bbs/Stock/M.1767580906.A.3A8.html,1/05
[新聞] 焦點股》晶豪科：美光帶動 早盤放煙火,6,win8719,https://www.ptt.cc/bbs/Stock/M.1767581874.A.1CE.html,1/05
[標的] 2330.TW 台積電 討論 該賣NV求GG？,12,andylu1207,https://www.ptt.cc/bbs/Stock/M.1767581931.A.561.html,1/05
Re: [標的] 6239力成 MU+KIOXIA訂單多,7,csy0922,https://www.ptt.cc/bbs/Stock/M.1767582062.A.CCC.html,1/05
[請益] 美股台積電跟台股台積電哪個好,34,hbkgod619,https://www.ptt.cc/bbs/Stock/M.1767582410.A.1D1.html,1/05
Re: [標的] 大盤 大小奶多,7,jacktypetlan,https://www.ptt.cc/bbs/Stock/M.1767583471.A.EDB.html,1/05
[標的] 華邦電 2344 (空),爆,minazukimaya,https://www.ptt.cc/bbs/Stock/M.1767583474.A.5B8.html,1/05
[新聞] 台積 ADR 市值躍全球第六大 收盤較台股現,48,TCB006,https://www.ptt.cc/bbs/Stock/M.1767507852.A.BCF.html,1/04
[心得] 2025 零股塔紀錄分享,10,lvmlis,https://www.ptt.cc/bbs/Stock/M.1767508090.A.D1A.html,1/04
Re: [情報]  6282康舒 5月營收,2,jetter731,https://www.ptt.cc/bbs/Stock/M.1767513263.A.17F.html,1/04
Re: [標的] 6707富基電通(威剛第二.低檔起漲) 多,17,TZUCHI,https://www.ptt.cc/bbs/Stock/M.1767513274.A.098.html,1/04
[新聞] 分析》美拿下委內瑞拉成石油霸主打擊「人,68,banbee100,https://www.ptt.cc/bbs/Stock/M.1767514059.A.95D.html,1/04
[心得] 「小散戶年報心得(檢討)文」,76,Alen0806,https://www.ptt.cc/bbs/Stock/M.1767515056.A.1BC.html,1/04
Re: [新聞] 再度暫停申購 元大美債20年又達募集上限,70,ncdonalds123,https://www.ptt.cc/bbs/Stock/M.1767524773.A.659.html,1/04
Re: [新聞] 再度暫停申購 元大美債20年又達募集上限,53,pttouch,https://www.ptt.cc/bbs/Stock/M.1767531319.A.974.html,1/04
[新聞] 萬科債務深不見底 分析：中國官方救不救,10,Su22,https://www.ptt.cc/bbs/Stock/M.1767533129.A.62B.html,1/04
[心得] 2025年報,54,gn01765288,https://www.ptt.cc/bbs/Stock/M.1767534417.A.FBE.html,1/04
"[新聞] 現在上車台積電不嫌晚 這家外資喊出2,400",56,empliu,https://www.ptt.cc/bbs/Stock/M.1767536256.A.D31.html,1/04
[請益] 投資策略請益與討論（00953B）,8,mh0092001,https://www.ptt.cc/bbs/Stock/M.1767536566.A.23B.html,1/04
[新聞] 台積電美國擴廠利潤嚴重縮水近8倍 無奈2大因素難為了,69,hvariables,https://www.ptt.cc/bbs/Stock/M.1767538529.A.622.html,1/04
[新聞] 台積電列入高盛亞太區首選買進清單，目,53,empliu,https://www.ptt.cc/bbs/Stock/M.1767540375.A.E1C.html,1/04
Re: [新聞] 再度暫停申購 元大美債20年又達募集,16,mainsa,https://www.ptt.cc/bbs/Stock/M.1767551992.A.F4A.html,1/05
[新聞] 大立光、台積電強強聯手 揮軍AI,7,largan6075,https://www.ptt.cc/bbs/Stock/M.1767568443.A.A09.html,1/05
[新聞] 0050配息0.36元變1元！203萬存股族樂歪,10,galeolow,https://www.ptt.cc/bbs/Stock/M.1767441552.A.151.html,1/03
[心得] 風口上的蜘蛛 奈米戶社畜2025年報,12,gipgip12,https://www.ptt.cc/bbs/Stock/M.1767445405.A.CDD.html,1/03
[心得] 2025美股年報,53,gsy2i7y14,https://www.ptt.cc/bbs/Stock/M.1767449702.A.1D8.html,1/03
[新聞] 委內瑞拉｜特朗普預告美國強勢介入委石油,25,Careerist,https://www.ptt.cc/bbs/Stock/M.1767454697.A.644.html,1/03
[新聞] 美國攻擊委內瑞拉將震撼油市？專家估下周,67,zkow,https://www.ptt.cc/bbs/Stock/M.1767455100.A.482.html,1/03
[標的] 1314中石化奈米多,19,nk11208z,https://www.ptt.cc/bbs/Stock/M.1767463139.A.D15.html,1/04
[情報] 8046 南電 114年12月營收,24,stonerr,https://www.ptt.cc/bbs/Stock/M.1767491573.A.347.html,1/04
[新聞] 川普宣布美國「暫管」委內瑞拉　派石油,爆,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1767492869.A.801.html,1/04
[新聞] 中國虛假繁榮 陸媒揭經濟溫差文章遭刪,10,Su22,https://www.ptt.cc/bbs/Stock/M.1767497695.A.742.html,1/04
Re: [新聞] 川普宣布美國「暫管」委內瑞拉　派石油,10,junior020486,https://www.ptt.cc/bbs/Stock/M.1767498305.A.DB4.html,1/04
Re: [新聞] 川普宣布美國「暫管」委內瑞拉　派石油,2,H2,https://www.ptt.cc/bbs/Stock/M.1767498900.A.7EB.html,1/04
Re: [新聞] 川普宣布美國「暫管」委內瑞拉　派石油,8,blueseason,https://www.ptt.cc/bbs/Stock/M.1767499155.A.D2D.html,1/04
[創作] 韭市集(網站),0,artist0408,https://www.ptt.cc/bbs/Stock/M.1767499645.A.5D3.html,1/04
[心得] 依舊晚了幾天的2025年報,3,dovejoymoon,https://www.ptt.cc/bbs/Stock/M.1767500928.A.412.html,1/04
[創作] 大時代2025第二話第三話(完),6,LinusChen62,https://www.ptt.cc/bbs/Stock/M.1767501831.A.2B4.html,1/04
[請益] 債券該砍還是該留?,爆,a3300552,https://www.ptt.cc/bbs/Stock/M.1767504771.A.4D5.html,1/04
Re: [請益] 債券該砍還是該留?,23,applesin,https://www.ptt.cc/bbs/Stock/M.1767506814.A.ECF.html,1/04
[新聞] 新年開局不順 美債殖利率飆升至4個月高,56,YU1225,https://www.ptt.cc/bbs/Stock/M.1767403254.A.481.html,1/03
Re: [標的] 3260 威剛 多,13,Worldpeaceme,https://www.ptt.cc/bbs/Stock/M.1767403617.A.4E6.html,1/03
[新聞] 美光升超10%ASML飆7% 晶片股2026開年強,31,YU1225,https://www.ptt.cc/bbs/Stock/M.1767405435.A.3CD.html,1/03
Re: [新聞] Google TPU發功！聯發科股價漲22％ 寫23,60,LDPC,https://www.ptt.cc/bbs/Stock/M.1767405644.A.74C.html,1/03
[新聞] 全球電車新霸主！比亞迪2025年銷量,57,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1767407521.A.CFA.html,1/03
[新聞] 群聯執行長潘健成看好營運 再加碼自家股,42,nick982009,https://www.ptt.cc/bbs/Stock/M.1767409062.A.531.html,1/03
[新聞] 台積電大進步！最新全球企業市值排名揭曉,爆,suntw,https://www.ptt.cc/bbs/Stock/M.1767410758.A.4C1.html,1/03
[心得] 奈米戶年報,2,abscented,https://www.ptt.cc/bbs/Stock/M.1767415995.A.CF3.html,1/03
Re: [請益] 好公司股價下跌反而該開心這句話是對的嗎,24,frela,https://www.ptt.cc/bbs/Stock/M.1767422026.A.9DE.html,1/03
